Symbol,Last_Price,Industry,Sector
USFD,99.93,Food Distribution,Consumer Defensive
IRMD,99.81,Medical Devices,Healthcare
STRC,99.8,Software - Application,Technology
STRF,99.75,Software - Application,Technology
NUTX,99.71,Medical Care Facilities,Healthcare
GOLF,99.56,Leisure,Consumer Cyclical
CCEP,99.51,Beverages - Non-Alcoholic,Consumer Defensive
MDT,99.49,Medical Devices,Healthcare
PNW,99.39,Utilities - Regulated Electric,Utilities
DEO,99.17,Beverages - Wineries & Distilleries,Consumer Defensive
PSIX,98.77,Specialty Industrial Machinery,Industrials
IR,98.52,Specialty Industrial Machinery,Industrials
ACGL,98.38,Insurance - Diversified,Financial Services
TXT,98.09,Aerospace & Defense,Industrials
RYTM,98.07,Biotechnology,Healthcare
RIO,98.07,Other Industrial Metals & Mining,Basic Materials
NBIS,98.01,Internet Content & Information,Communication Services
PFGC,98.0,Food Distribution,Consumer Defensive
SLVO,97.88,Unknown,Unknown
LSCC,97.63,Semiconductors,Technology
GRAL,97.5,Diagnostics & Research,Healthcare
AX,97.28,Banks - Regional,Financial Services
EXEEL,97.19,,
WHLRL,97.0,,
CROX,96.88,Footwear & Accessories,Consumer Cyclical
FORM,96.73,Semiconductor Equipment & Materials,Technology
CL,96.67,Household & Personal Products,Consumer Defensive
ORLY,96.66,Auto Parts,Consumer Cyclical
ZBH,96.45,Medical Devices,Healthcare
BRC,96.33,Security & Protection Services,Industrials
RVMD,96.31,Biotechnology,Healthcare
SKY,96.14,Residential Construction,Consumer Cyclical
PNFP,96.13,Banks - Regional,Financial Services
CRWV,96.04,Software - Infrastructure,Technology
SGI,96.04,"Furnishings, Fixtures & Appliances",Consumer Cyclical
RVTY,96.03,Diagnostics & Research,Healthcare
VAL,95.96,Oil & Gas Equipment & Services,Energy
CM,95.82,Banks - Diversified,Financial Services
ATGE,95.52,Education & Training Services,Consumer Defensive
TD,95.32,Banks - Diversified,Financial Services
SO,94.95,Utilities - Regulated Electric,Utilities
SRE,94.78,Utilities - Diversified,Utilities
GGG,94.67,Specialty Industrial Machinery,Industrials
CF,94.66,Agricultural Inputs,Basic Materials
ACLS,94.55,Semiconductor Equipment & Materials,Technology
PAYX,94.38,Software - Application,Technology
MSM,94.04,Industrial Distribution,Industrials
NEE,93.8,Utilities - Regulated Electric,Utilities
SBUX,93.79,Restaurants,Consumer Cyclical
TROW,93.76,Asset Management,Financial Services
SCHW,93.72,Capital Markets,Financial Services
ANF,93.7,Apparel Retail,Consumer Cyclical
LPX,93.62,Building Products & Equipment,Industrials
GFF,93.6,Building Products & Equipment,Industrials
MCY,93.47,Insurance - Property & Casualty,Financial Services
MCRI,93.33,Resorts & Casinos,Consumer Cyclical
MCB,93.21,Banks - Regional,Financial Services
LLYVK,93.21,Entertainment,Communication Services
WAL,93.2,Banks - Regional,Financial Services
SXT,93.03,Specialty Chemicals,Basic Materials
ICLR,93.0,Diagnostics & Research,Healthcare
ZM,92.6,Software - Application,Technology
VLTO,92.54,Pollution & Treatment Controls,Industrials
CASH,92.45,Banks - Regional,Financial Services
NGG,92.4,Utilities - Regulated Electric,Utilities
QCRH,92.38,Banks - Regional,Financial Services
PFSI,92.01,Mortgage Finance,Financial Services
SR,91.84,Utilities - Regulated Gas,Utilities
TTMI,91.8,Electronic Components,Technology
CNR,91.51,Thermal Coal,Energy
SWK,91.06,Tools & Accessories,Industrials
PFBC,90.91,Banks - Regional,Financial Services
SYNA,90.81,Semiconductors,Technology
LLYVA,90.7,Entertainment,Communication Services
PLNT,90.7,Leisure,Consumer Cyclical
MLAB,90.59,Scientific & Technical Instruments,Technology
SYY,90.56,Food Distribution,Consumer Defensive
STRT,90.41,Auto Parts,Consumer Cyclical
PFG,90.39,Asset Management,Financial Services
CCI,90.38,REIT - Specialty,Real Estate
WGS,90.15,Diagnostics & Research,Healthcare
SIG,90.09,Luxury Goods,Consumer Cyclical
ROKU,90.06,Entertainment,Communication Services
MRUS,90.0,Biotechnology,Healthcare
OTIS,89.83,Specialty Industrial Machinery,Industrials
HXL,89.79,Aerospace & Defense,Industrials
FLS,89.69,Specialty Industrial Machinery,Industrials
LOGI,89.41,Computer Hardware,Technology
ITRI,89.36,Scientific & Technical Instruments,Technology
IMKTA,89.34,Grocery Stores,Consumer Defensive
NHI,89.31,REIT - Healthcare Facilities,Real Estate
CHDN,89.24,Gambling,Consumer Cyclical
GDDY,89.12,Software - Infrastructure,Technology
KTOS,89.06,Aerospace & Defense,Industrials
RRBI,88.9,Banks - Regional,Financial Services
WHR,88.69,"Furnishings, Fixtures & Appliances",Consumer Cyclical
CMA,88.67,Banks - Regional,Financial Services
ACM,88.31,Engineering & Construction,Industrials
OTTR,88.16,Conglomerates,Industrials
SHAK,88.15,Restaurants,Consumer Cyclical
LMB,88.14,Building Products & Equipment,Industrials
GMED,88.09,Medical Devices,Healthcare
SWX,87.98,Utilities - Regulated Gas,Utilities
LMAT,87.66,Medical Instruments & Supplies,Healthcare
CVLT,87.63,Software - Application,Technology
PDS,87.35,Oil & Gas Drilling,Energy
NFG,87.34,Oil & Gas Integrated,Energy
OKTA,87.26,Software - Infrastructure,Technology
SMTC,87.11,Semiconductors,Technology
BC,87.04,Recreational Vehicles,Consumer Cyclical
STN,87.03,Engineering & Construction,Industrials
WFC,86.98,Banks - Diversified,Financial Services
USPH,86.94,Medical Care Facilities,Healthcare
TRI,86.89,Specialty Business Services,Industrials
SAIC,86.61,Information Technology Services,Technology
BMA,86.59,Banks - Regional,Financial Services
IOSP,86.58,Specialty Chemicals,Basic Materials
BCC,86.5,Lumber & Wood Production,Basic Materials
SIGI,86.42,Insurance - Property & Casualty,Financial Services
PEG,86.37,Utilities - Regulated Electric,Utilities
AGO,86.34,Insurance - Specialty,Financial Services
JJSF,86.3,Packaged Foods,Consumer Defensive
HCC,86.28,Coking Coal,Basic Materials
LNW,86.22,Unknown,Unknown
SFBS,86.14,Banks - Regional,Financial Services
OKE,86.11,Oil & Gas Midstream,Energy
OGS,86.04,Utilities - Regulated Gas,Utilities
ITGR,85.92,Medical Devices,Healthcare
OPY,85.85,Capital Markets,Financial Services
FTNT,85.56,Software - Infrastructure,Technology
FWONK,85.55,Entertainment,Communication Services
VTR,85.24,REIT - Healthcare Facilities,Real Estate
APTV,85.2,Auto Parts,Consumer Cyclical
HSBC,85.15,Banks - Diversified,Financial Services
NSIT,85.11,Electronics & Computer Distribution,Technology
LRN,84.89,Education & Training Services,Consumer Defensive
QRVO,84.44,Semiconductors,Technology
GHM,84.4,Specialty Industrial Machinery,Industrials
TEAM,84.38,Software - Application,Technology
ABCB,84.02,Banks - Regional,Financial Services
PLUS,83.88,Software - Application,Technology
CP,83.78,Railroads,Industrials
INDB,83.68,Banks - Regional,Financial Services
CCB,83.47,Banks - Regional,Financial Services
CALM,83.44,Farm Products,Consumer Defensive
TNC,83.04,Specialty Industrial Machinery,Industrials
IFF,83.0,Specialty Chemicals,Basic Materials
COO,82.99,Medical Instruments & Supplies,Healthcare
MGEE,82.88,Utilities - Regulated Electric,Utilities
TMP,82.76,Banks - Regional,Financial Services
TPC,82.74,Engineering & Construction,Industrials
EVRG,82.69,Utilities - Regulated Electric,Utilities
BKTI,82.53,Communication Equipment,Technology
ASTS,82.51,Communication Equipment,Technology
W,82.39,Internet Retail,Consumer Cyclical
EBAY,82.38,Internet Retail,Consumer Cyclical
MRCY,82.36,Aerospace & Defense,Industrials
KYMR,82.34,Biotechnology,Healthcare
HHH,82.15,Real Estate - Development,Real Estate
BYD,81.99,Resorts & Casinos,Consumer Cyclical
MMSI,81.66,Medical Instruments & Supplies,Healthcare
XEL,81.59,Utilities - Regulated Electric,Utilities
