Symbol,Last_Price,Industry,Sector
LW,49.82,Packaged Foods,Consumer Defensive
AFRM,49.81,Credit Services,Financial Services
XYZ,49.8,Software - Infrastructure,Technology
UHAL,49.69,Rental & Leasing Services,Industrials
JOUT,49.65,Leisure,Consumer Cyclical
NVO,49.57,Drug Manufacturers - General,Healthcare
BIPC,49.56,Utilities - Regulated Gas,Utilities
TPG,49.53,Asset Management,Financial Services
OZK,49.48,Banks - Regional,Financial Services
GLOB,49.4,Information Technology Services,Technology
LIF,49.31,Software - Application,Technology
MOFG,49.31,Banks - Regional,Financial Services
CRVL,49.2,Insurance Brokers,Financial Services
TATT,49.19,Aerospace & Defense,Industrials
FRAF,49.12,Banks - Regional,Financial Services
TWST,49.11,Diagnostics & Research,Healthcare
IP,49.1,Packaging & Containers,Consumer Cyclical
BLKB,49.08,Software - Application,Technology
JHG,49.05,Asset Management,Financial Services
GFS,48.99,Semiconductors,Technology
VSAT,48.85,Communication Equipment,Technology
IDT,48.76,Telecom Services,Communication Services
GLP,48.75,Oil & Gas Midstream,Energy
MEOH,48.75,Chemicals,Basic Materials
BWFG,48.74,Banks - Regional,Financial Services
BKU,48.73,Banks - Regional,Financial Services
GSHD,48.69,Insurance Brokers,Financial Services
CNA,48.69,Insurance - Property & Casualty,Financial Services
SOR,48.69,Asset Management,Financial Services
SLGN,48.65,Packaging & Containers,Consumer Cyclical
TS,48.59,Oil & Gas Equipment & Services,Energy
KARO,48.57,Software - Application,Technology
EXC,48.48,Utilities - Regulated Electric,Utilities
GIS,48.34,Packaged Foods,Consumer Defensive
DGII,48.26,Communication Equipment,Technology
YETI,48.0,Leisure,Consumer Cyclical
AFJK,48.0,Shell Companies,Financial Services
B,47.91,Gold,Basic Materials
ZEUS,47.86,Steel,Basic Materials
LGN,47.8,Engineering & Construction,Industrials
MTDR,47.8,Oil & Gas E&P,Energy
BN,47.79,Asset Management,Financial Services
HROW,47.69,Drug Manufacturers - Specialty & Generic,Healthcare
LXP,47.66,REIT - Industrial,Real Estate
BATRA,47.65,Entertainment,Communication Services
MBIN,47.63,Banks - Regional,Financial Services
BNT,47.6,Insurance - Diversified,Financial Services
TDS,47.59,Telecom Services,Communication Services
IFS,47.5,Banks - Regional,Financial Services
AMKR,47.48,Semiconductor Equipment & Materials,Technology
ITRN,47.44,Scientific & Technical Instruments,Technology
DNTH,47.4,Biotechnology,Healthcare
OHI,47.4,REIT - Healthcare Facilities,Real Estate
EGO,47.37,Gold,Basic Materials
TYG,47.35,Asset Management,Financial Services
POWI,47.21,Semiconductors,Technology
BILL,46.99,Software - Application,Technology
OGE,46.98,Utilities - Regulated Electric,Utilities
OVV,46.93,Oil & Gas E&P,Energy
WS,46.9,Steel,Basic Materials
FIS,46.8,Information Technology Services,Technology
INTC,46.79,Semiconductors,Technology
ICHR,46.77,Semiconductor Equipment & Materials,Technology
FEIM,46.72,Communication Equipment,Technology
NEGG,46.63,Internet Retail,Consumer Cyclical
CWT,46.56,Utilities - Regulated Water,Utilities
WGO,46.54,Recreational Vehicles,Consumer Cyclical
FDBC,46.43,Banks - Regional,Financial Services
FAST,46.41,Industrial Distribution,Industrials
GLPI,46.4,REIT - Specialty,Real Estate
ALRM,46.38,Software - Application,Technology
TPH,46.37,Residential Construction,Consumer Cyclical
NI,46.36,Utilities - Regulated Gas,Utilities
HGV,46.22,Resorts & Casinos,Consumer Cyclical
CTRN,46.18,Apparel Retail,Consumer Cyclical
EQBK,46.17,Banks - Regional,Financial Services
GDS,46.12,Information Technology Services,Technology
OXY,46.07,Oil & Gas E&P,Energy
CENX,46.04,Aluminum,Basic Materials
SNY,46.01,Drug Manufacturers - General,Healthcare
MAZE,46.01,Biotechnology,Healthcare
GGAL,45.98,Banks - Regional,Financial Services
SRRK,45.98,Biotechnology,Healthcare
IIPR,45.93,REIT - Industrial,Real Estate
NBTB,45.82,Banks - Regional,Financial Services
NE,45.82,Oil & Gas Drilling,Energy
COLL,45.79,Drug Manufacturers - Specialty & Generic,Healthcare
ETSY,45.73,Internet Retail,Consumer Cyclical
TRST,45.72,Banks - Regional,Financial Services
ONIT,45.63,Mortgage Finance,Financial Services
FLR,45.48,Engineering & Construction,Industrials
KNSA,45.37,Drug Manufacturers - Specialty & Generic,Healthcare
ONON,45.29,Footwear & Accessories,Consumer Cyclical
AGI,45.25,Gold,Basic Materials
SKWD,45.25,Insurance - Property & Casualty,Financial Services
CPS,45.2,Auto Parts,Consumer Cyclical
RPRX,45.19,Biotechnology,Healthcare
CASS,45.02,Specialty Business Services,Industrials
CSGP,44.99,Real Estate Services,Real Estate
DOCU,44.82,Software - Application,Technology
TRMK,44.73,Banks - Regional,Financial Services
CELH,44.68,Beverages - Non-Alcoholic,Consumer Defensive
DVN,44.66,Oil & Gas E&P,Energy
FRGE,44.64,Capital Markets,Financial Services
APEI,44.59,Education & Training Services,Consumer Defensive
ABM,44.51,Specialty Business Services,Industrials
AAOI,44.46,Communication Equipment,Technology
MLR,44.43,Auto Parts,Consumer Cyclical
PBA,44.42,Oil & Gas Midstream,Energy
APG,44.41,Engineering & Construction,Industrials
INOD,44.39,Information Technology Services,Technology
EQH,44.39,Asset Management,Financial Services
SMP,44.36,Auto Parts,Consumer Cyclical
NNN,44.34,REIT - Retail,Real Estate
SFBC,44.3,Banks - Regional,Financial Services
VNOM,44.25,Oil & Gas Midstream,Energy
ACU,44.23,Household & Personal Products,Consumer Defensive
VPG,44.2,Scientific & Technical Instruments,Technology
NSSC,44.15,Security & Protection Services,Industrials
RAL,44.13,Electronic Components,Technology
UBSI,44.12,Banks - Regional,Financial Services
VTOL,44.1,Oil & Gas Equipment & Services,Energy
HTB,43.95,Banks - Regional,Financial Services
BSVN,43.92,Banks - Regional,Financial Services
EXEL,43.92,Biotechnology,Healthcare
PEGA,43.85,Software - Application,Technology
SRV,43.85,Asset Management,Financial Services
BEPC,43.84,Utilities - Renewable,Utilities
OBK,43.74,Banks - Regional,Financial Services
STBA,43.68,Banks - Regional,Financial Services
TX,43.65,Steel,Basic Materials
BCH,43.52,Banks - Regional,Financial Services
ENPH,43.49,Solar,Technology
E,43.45,Oil & Gas Integrated,Energy
SPNS,43.45,Software - Application,Technology
Z,43.45,Internet Content & Information,Communication Services
GLNG,43.44,Oil & Gas Midstream,Energy
WES,43.43,Oil & Gas Midstream,Energy
PPC,43.32,Packaged Foods,Consumer Defensive
GFL,43.31,Waste Management,Industrials
ZG,43.3,Internet Content & Information,Communication Services
ACT,43.29,Insurance - Specialty,Financial Services
FMBH,43.29,Banks - Regional,Financial Services
GABC,43.2,Banks - Regional,Financial Services
UHT,43.2,REIT - Healthcare Facilities,Real Estate
BATRK,43.18,Entertainment,Communication Services
CSV,43.16,Personal Services,Consumer Cyclical
AVA,43.08,Utilities - Diversified,Utilities
CNO,43.06,Insurance - Life,Financial Services
EPAC,43.02,Specialty Industrial Machinery,Industrials
ECO,42.98,Marine Shipping,Industrials
OVBC,42.95,Banks - Regional,Financial Services
PARR,42.86,Oil & Gas Refining & Marketing,Energy
CCBG,42.82,Banks - Regional,Financial Services
TREX,42.8,Building Products & Equipment,Industrials
PFX,42.78,Asset Management,Financial Services
AVNT,42.75,Specialty Chemicals,Basic Materials
CHT,42.72,Telecom Services,Communication Services
CRNX,42.7,Biotechnology,Healthcare
OR,42.69,Gold,Basic Materials
SDRL,42.66,Oil & Gas Drilling,Energy
APAM,42.59,Asset Management,Financial Services
ORI,42.57,Insurance - Property & Casualty,Financial Services
HMN,42.57,Insurance - Property & Casualty,Financial Services
CNP,42.52,Utilities - Regulated Electric,Utilities
EIG,42.5,Insurance - Specialty,Financial Services
TCBX,42.44,Banks - Regional,Financial Services
ALGM,42.38,Semiconductors,Technology
SPFI,42.29,Banks - Regional,Financial Services
PLOW,42.25,Auto Parts,Consumer Cyclical
NATL,42.24,Software - Application,Technology
MRNA,42.23,Biotechnology,Healthcare
IREN,42.22,Capital Markets,Financial Services
VERA,42.22,Biotechnology,Healthcare
CDRE,42.19,Aerospace & Defense,Industrials
MIAX,42.14,Capital Markets,Financial Services
CADE,42.11,Banks - Regional,Financial Services
FSBW,42.08,Banks - Regional,Financial Services
BME,42.07,Asset Management,Financial Services
FRME,42.05,Banks - Regional,Financial Services
TR,42.0,Confectioners,Consumer Defensive
UBS,41.99,Banks - Diversified,Financial Services
SEE,41.93,Packaging & Containers,Consumer Cyclical
OFG,41.91,Banks - Regional,Financial Services
EE,41.84,Oil & Gas Midstream,Energy
NBHC,41.84,Banks - Regional,Financial Services
CNMD,41.8,Medical Devices,Healthcare
VNT,41.79,Scientific & Technical Instruments,Technology
NTNX,41.76,Software - Infrastructure,Technology
PCH,41.73,REIT - Specialty,Real Estate
RDVT,41.66,Software - Application,Technology
KNTK,41.54,Oil & Gas Midstream,Energy
XENE,41.48,Biotechnology,Healthcare
SMBK,41.47,Banks - Regional,Financial Services
APOG,41.44,Building Products & Equipment,Industrials
KMX,41.43,Auto & Truck Dealerships,Consumer Cyclical
ASGN,41.43,Information Technology Services,Technology
AMAL,41.39,Banks - Regional,Financial Services
MRX,41.34,Capital Markets,Financial Services
KBR,41.3,Engineering & Construction,Industrials
LNC,40.88,Insurance - Life,Financial Services
CSX,40.87,Railroads,Industrials
AB,40.84,Asset Management,Financial Services
ALCO,40.82,Farm Products,Consumer Defensive
ALLY,40.8,Credit Services,Financial Services
CWEN,40.78,Utilities - Renewable,Utilities
IPX,40.75,Other Industrial Metals & Mining,Basic Materials
RNST,40.73,Banks - Regional,Financial Services
CNQ,40.68,Oil & Gas E&P,Energy
CNX,40.6,Oil & Gas E&P,Energy
CNC,40.58,Healthcare Plans,Healthcare
SLG,40.55,REIT - Office,Real Estate
BJRI,40.54,Restaurants,Consumer Cyclical
FSBC,40.54,Banks - Regional,Financial Services
LOB,40.54,Banks - Regional,Financial Services
FDP,40.45,Farm Products,Consumer Defensive
UTG,40.43,Asset Management,Financial Services
UNFI,40.3,Food Distribution,Consumer Defensive
PYPL,40.29,Credit Services,Financial Services
AUB,40.23,Banks - Regional,Financial Services
CRI,40.05,Apparel Retail,Consumer Cyclical
CTRE,40.01,REIT - Healthcare Facilities,Real Estate
CORT,39.97,Biotechnology,Healthcare
VABK,39.9,Banks - Regional,Financial Services
FCBC,39.87,Banks - Regional,Financial Services
TNET,39.82,Staffing & Employment Services,Industrials
AS,39.81,Leisure,Consumer Cyclical
BIRK,39.8,Footwear & Accessories,Consumer Cyclical
STK,39.79,Asset Management,Financial Services
KEQU,39.77,"Furnishings, Fixtures & Appliances",Consumer Cyclical
TREE,39.75,Financial Conglomerates,Financial Services
WTRG,39.73,Utilities - Regulated Water,Utilities
HASI,39.7,Asset Management,Financial Services
VLGEA,39.7,Grocery Stores,Consumer Defensive
BST,39.68,Asset Management,Financial Services
HUBG,39.66,Integrated Freight & Logistics,Industrials
NMIH,39.65,Insurance - Specialty,Financial Services
KMT,39.59,Tools & Accessories,Industrials
ACIW,39.56,Software - Infrastructure,Technology
PDEX,39.48,Medical Instruments & Supplies,Healthcare
HY,39.47,Farm & Heavy Construction Machinery,Industrials
MAYS,39.42,Real Estate Services,Real Estate
LTC,39.39,REIT - Healthcare Facilities,Real Estate
UFCS,39.33,Insurance - Property & Casualty,Financial Services
HTH,39.27,Financial Conglomerates,Financial Services
PEBK,39.22,Banks - Regional,Financial Services
FSUN,39.19,Banks - Regional,Financial Services
SHOO,39.19,Footwear & Accessories,Consumer Cyclical
ATAT,39.17,Lodging,Consumer Cyclical
DFIN,39.12,Software - Application,Technology
TSBK,39.05,Banks - Regional,Financial Services
NVAWW,39.0,,
ARMK,38.98,Specialty Business Services,Industrials
HNGE,38.94,Health Information Services,Healthcare
CUBE,38.93,REIT - Industrial,Real Estate
BTSG,38.86,Health Information Services,Healthcare
IDR,38.85,Gold,Basic Materials
EFSI,38.82,Banks - Regional,Financial Services
PLAB,38.8,Semiconductor Equipment & Materials,Technology
RCI,38.8,Telecom Services,Communication Services
UGI,38.76,Utilities - Regulated Gas,Utilities
BIP,38.75,Utilities - Diversified,Utilities
RYAN,38.71,Insurance - Specialty,Financial Services
NCSM,38.7,Oil & Gas Equipment & Services,Energy
BL,38.61,Software - Application,Technology
VVV,38.53,Auto & Truck Dealerships,Consumer Cyclical
BTO,38.5,Asset Management,Financial Services
FYBR,38.49,Telecom Services,Communication Services
STEL,38.49,Banks - Regional,Financial Services
LZB,38.34,"Furnishings, Fixtures & Appliances",Consumer Cyclical
VIRT,38.34,Capital Markets,Financial Services
OXM,38.22,Apparel Manufacturing,Consumer Cyclical
PECO,38.2,REIT - Retail,Real Estate
LQDA,38.2,Biotechnology,Healthcare
GSL,38.15,Marine Shipping,Industrials
NKSH,38.14,Banks - Regional,Financial Services
DRS,38.13,Aerospace & Defense,Industrials
MBX,38.09,Biotechnology,Healthcare
UDR,38.09,REIT - Residential,Real Estate
STAG,38.06,REIT - Industrial,Real Estate
WHLRD,38.01,REIT - Retail,Real Estate
AMSF,37.99,Insurance - Specialty,Financial Services
GLIBK,37.99,Telecom Services,Communication Services
BVN,37.96,Other Precious Metals & Mining,Basic Materials
CENT,37.95,Packaged Foods,Consumer Defensive
GLIBA,37.86,Telecom Services,Communication Services
LINE,37.83,REIT - Industrial,Real Estate
PPL,37.82,Utilities - Regulated Electric,Utilities
PACS,37.81,Medical Care Facilities,Healthcare
TERN,37.79,Biotechnology,Healthcare
FIBK,37.66,Banks - Regional,Financial Services
BP,37.66,Oil & Gas Integrated,Energy
TBBB,37.65,Discount Stores,Consumer Defensive
FNWD,37.64,Banks - Regional,Financial Services
ORRF,37.64,Banks - Regional,Financial Services
FUNC,37.62,Banks - Regional,Financial Services
IIIN,37.58,Metal Fabrication,Industrials
RRC,37.57,Oil & Gas E&P,Energy
SION,37.52,Biotechnology,Healthcare
CPRT,37.49,Specialty Business Services,Industrials
RGR,37.48,Aerospace & Defense,Industrials
YPF,37.37,Oil & Gas Integrated,Energy
G,37.36,Information Technology Services,Technology
AHL,37.34,Insurance - Property & Casualty,Financial Services
BSRR,37.27,Banks - Regional,Financial Services
SLNO,37.24,Biotechnology,Healthcare
EPD,37.21,Oil & Gas Midstream,Energy
CWCO,37.21,Utilities - Regulated Water,Utilities
VALU,37.2,Financial Data & Stock Exchanges,Financial Services
DT,37.2,Software - Application,Technology
REXR,37.2,REIT - Industrial,Real Estate
NGS,37.11,Oil & Gas Equipment & Services,Energy
ST,36.88,Scientific & Technical Instruments,Technology
OFLX,36.86,Specialty Industrial Machinery,Industrials
CBFV,36.83,Banks - Regional,Financial Services
MFC,36.77,Insurance - Life,Financial Services
TTEK,36.7,Engineering & Construction,Industrials
HESM,36.68,Oil & Gas Midstream,Energy
WSBC,36.65,Banks - Regional,Financial Services
SYRE,36.63,Biotechnology,Healthcare
IBCP,36.63,Banks - Regional,Financial Services
PRSU,36.62,Travel Services,Consumer Cyclical
AORT,36.6,Medical Devices,Healthcare
COGT,36.53,Biotechnology,Healthcare
PRGS,36.53,Software - Infrastructure,Technology
BRKR,36.51,Medical Devices,Healthcare
OMCL,36.5,Health Information Services,Healthcare
FIZZ,36.35,Beverages - Non-Alcoholic,Consumer Defensive
IX,36.34,Financial Conglomerates,Financial Services
CART,36.3,Internet Retail,Consumer Cyclical
CMG,36.3,Restaurants,Consumer Cyclical
TRS,36.27,Packaging & Containers,Consumer Cyclical
TOWN,36.21,Banks - Regional,Financial Services
TFPM,36.19,Other Precious Metals & Mining,Basic Materials
SNN,36.18,Medical Devices,Healthcare
IMAX,36.08,Entertainment,Communication Services
GMRE,36.07,REIT - Healthcare Facilities,Real Estate
HRMY,36.01,Biotechnology,Healthcare
VCEL,35.96,Biotechnology,Healthcare
WASH,35.9,Banks - Regional,Financial Services
REZI,35.83,Industrial Distribution,Industrials
